area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HND,FAOSTAT_3,total_fertilizers,14994,35601,40668,55000,29500,88900,82600,143739,139893,163800,180500,151500,44401.31,58695.4,38421.1,63654.28,103364.1,94681.88,79011.85,63341.8,87198.23,133857.6,109853.55,126195.86,142538.16,134281.92,167273.06,187832.5,209110.46,160284.49
HRV,FAOSTAT_3,total_fertilizers,,,183522,138500,193000,181000,202300,275852,176388,194200,223000,175600,220496,252981,264759,257106,335474,349374,426243,142991,268887,278884,173474,140934,156197,153373,104038,174469,177680,174271
HUN,FAOSTAT_3,total_fertilizers,679944,326129,189000,292600,313723,368145,454927,427088,370600,432600,417024,453751,437000,439000,453000,392000,456000,507000,443373,355256,370396,410002,438009,490119,487125,493574,597322,658733,652314,630220
IDN,FAOSTAT_3,total_fertilizers,2500800,2400100,2583000,2317000,2467000,2529200,2715900,2227600,2727700,2524500,2493500,2638308,2489222,2938147,3236411,3303912,3397346,3992059,4188796,4286696,4283793,4662837,5203810.2,5159718.3,5460675.2,5443037.13,5444238.66,5824967.75,6218484.62,5500893.2
IND,FAOSTAT_3,total_fertilizers,12018000,12728085,12154409,12385271,13563669,13876235,14338041,16187986,16797504,18056730,16702300,17344311,16095991,16807212,18406670,20347381,21642119,22571108,24228437,26445526,28110244,28373686,25536100,24482500,25581400,26752600,25949100,26590900,27375200,28969600
IRL,FAOSTAT_3,total_fertilizers,692300,665000,668000,716000,752000,748000,682000,660000,712000,692000,599410,589717,702690,630920,562050,542316,497954,453173,416298,519860,467528,457170,549587,526343,556362.97,577055.28,556580.47,621892.5,696745.1,582805.62
IRN,FAOSTAT_3,total_fertilizers,1161000,1149000,1349960,901100,1004000,1017200,1079325,1207202,1268000,1330400,1393563,1325619,1408887.35,1513354.04,1611800.62,1711115.31,2117363.11,1648513.6,1680402.53,1407057.95,1388930.03,734923.24,786635.66,834352.74,1075279.67,697295.7,698154.45,698154.45,698154.45,698154.45
IRQ,FAOSTAT_3,total_fertilizers,207000,134700,210000,348000,384000,333900,354400,356800,383300,388100,371200,639200,634600,114700,111132,218787,223420,187360,228760,219717,137160,168120,213403.18,231038.74,97910.34,77346.05,143905.87,251613.61,274173.44,274173.44
ISL,FAOSTAT_3,total_fertilizers,23163,22918,20024,23000,20098,19562,18892,19300,18700,21900,21200,18180,18802,15852,17792,17229,21649,24271,24985,15357,18290,19450,21390,20459,24450,17878,21965,17909,16490,14240
ISR,FAOSTAT_3,total_fertilizers,102600,93600,97800,98000,104000,104000,119000,120000,121000,89000,94000,89400,87900,94500,99800,91000,92400,105500,84100,61000,60600,74400,82200,84600,79400,72400,82800,89072.88,92300,87482.04
