area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
JAM,employment_agri_female,16.11,16.03,12.14,12.21,11.74,11.26,10.07,9.76,8.85,9.23,9.6,9.83,8.81,8.8,8.44,8.33,8.47,8.38,8.23,8.1,7.98,8.02,8.13,7.97,7.93,8.67,9.19,8.92,8.22,,
JOR,employment_agri_female,3.58,3.63,3.69,3.68,3.69,3.67,3.62,3.55,3.49,3.38,3.27,3.15,2.06,1.33,1.29,1.27,1.27,1.24,1.21,1.17,1.14,1.1,1.04,1.0,0.94,0.9,0.85,0.8,0.75,,
JPN,employment_agri_female,7.78,7.29,6.78,6.58,6.49,6.26,6.02,5.97,5.76,5.55,5.28,4.96,4.82,4.68,4.55,4.44,4.33,4.23,4.1,3.9,3.71,3.54,3.39,3.3,3.22,3.05,2.99,3.02,2.95,,
KAZ,employment_agri_female,35.28,35.6,36.19,36.25,36.21,36.04,35.89,36.17,35.48,35.09,34.19,34.67,34.01,31.96,31.32,30.16,29.71,29.15,28.38,27.41,26.26,25.0,23.23,20.08,17.09,15.98,15.13,14.25,13.25,,
KEN,employment_agri_female,54.9,54.71,54.53,54.3,54.13,54.05,54.18,54.36,54.97,57.74,60.29,62.6,64.66,66.46,68.11,68.33,68.13,67.88,67.45,66.79,66.07,65.36,64.59,63.78,62.92,62.05,61.15,60.24,59.34,,
KGZ,employment_agri_female,36.98,38.74,38.97,41.63,47.03,47.37,48.65,48.91,53.21,54.78,54.79,48.67,42.99,38.69,37.34,35.35,33.95,33.88,32.84,31.77,30.66,29.59,32.92,34.47,31.95,27.83,22.25,20.35,18.81,,
KHM,employment_agri_female,80.46,80.07,79.9,80.39,79.99,79.3,78.67,77.92,76.7,74.8,68.58,67.05,66.02,64.13,62.77,61.18,59.56,58.94,58.1,57.72,57.27,54.33,50.92,47.32,44.63,40.38,40.21,38.45,36.57,,
KIR,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,employment_agri_female,17.03,16.74,16.17,15.02,14.05,13.18,12.77,14.3,13.25,12.25,11.31,10.67,10.14,9.52,8.85,8.48,8.14,7.86,7.51,6.88,6.75,6.32,6.92,5.63,5.37,4.99,4.77,4.74,4.83,,
KWT,employment_agri_female,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,,
LAO,employment_agri_female,90.63,90.45,90.16,89.87,89.37,88.64,87.87,86.98,86.29,85.42,84.51,83.64,82.61,81.38,80.19,79.31,77.82,76.31,75.01,73.58,72.47,71.31,70.01,68.83,67.74,66.84,65.75,64.63,63.54,,
LBN,employment_agri_female,18.48,18.58,18.71,18.67,18.57,18.64,18.3,18.07,17.55,17.0,16.67,16.32,15.95,15.69,15.33,14.65,14.26,13.99,13.8,13.64,13.27,12.99,12.73,12.43,12.09,11.71,11.19,10.5,9.49,,
LBR,employment_agri_female,59.91,60.57,61.16,61.51,60.37,59.75,58.24,56.94,55.76,54.13,53.17,52.26,53.42,52.98,52.32,51.36,50.15,49.2,48.37,47.46,46.31,45.14,43.9,43.33,42.84,42.12,41.45,40.94,40.33,,
LBY,employment_agri_female,31.98,31.69,31.39,31.27,30.61,30.31,29.77,28.97,28.67,28.53,27.82,27.54,27.55,27.14,27.02,26.53,25.93,25.28,24.05,23.49,22.77,21.71,20.34,18.99,17.91,17.05,16.86,16.54,15.89,,
LCA,employment_agri_female,14.32,14.24,13.98,16.82,17.19,18.18,13.37,16.03,15.29,13.79,13.22,12.83,12.23,11.76,10.87,10.45,9.8,9.39,8.76,8.15,7.56,6.89,6.31,5.72,5.22,4.8,4.43,5.14,2.89,,
LIE,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,employment_agri_female,43.96,47.71,43.95,46.57,42.28,40.77,45.02,49.71,48.77,47.58,46.69,45.66,44.53,43.33,42.08,40.72,39.48,38.2,36.98,36.82,35.34,33.82,33.77,32.27,32.33,30.42,29.35,28.46,27.63,,
LSO,employment_agri_female,58.99,58.7,58.37,58.08,57.75,57.43,57.03,56.62,56.16,55.52,54.56,53.66,53.02,52.2,51.56,50.68,49.97,49.17,48.44,47.71,46.83,45.99,45.1,44.17,43.18,42.26,41.55,40.67,39.83,,
