area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NZL,employment_agri_male,13.52,13.35,13.12,12.79,12.21,11.67,11.11,10.86,11.68,11.08,11.71,11.44,10.1,9.21,8.66,8.61,8.75,8.38,8.42,8.84,8.93,8.8,8.37,8.25,8.03,8.56,8.13,7.79,7.74,,
OMN,employment_agri_male,10.59,10.34,10.08,9.2,8.38,7.63,7.39,7.12,6.86,6.59,7.11,7.63,8.15,8.63,9.06,9.45,9.75,9.97,7.89,5.99,5.85,5.74,5.52,5.29,5.14,5.01,4.86,4.66,4.49,,
PAK,employment_agri_male,41.29,41.01,40.77,40.54,40.77,40.21,39.9,39.66,39.35,38.97,38.71,38.45,37.81,37.86,37.96,37.69,37.07,37.59,36.02,35.46,35.31,34.41,33.49,33.79,32.57,34.1,32.11,30.15,29.74,,
PAN,employment_agri_male,38.71,35.54,32.76,28.57,29.64,29.16,27.2,26.1,25.64,25.16,26.25,25.32,25.2,23.32,22.21,22.39,21.27,24.03,23.88,23.11,22.14,21.71,20.85,20.35,19.01,19.54,18.22,18.33,18.5,,
PER,employment_agri_male,39.16,39.22,39.0,38.31,37.86,37.75,37.29,37.37,37.44,37.15,37.09,36.61,38.44,36.06,36.6,34.91,31.26,30.82,29.96,28.68,29.65,28.53,28.31,29.04,29.26,29.22,29.06,29.17,28.25,,
PHL,employment_agri_male,52.77,53.22,53.66,53.08,51.55,50.29,46.91,45.49,46.45,45.32,44.99,44.68,44.03,43.44,42.93,42.32,41.6,41.29,41.07,40.12,39.95,39.36,38.09,37.1,35.92,33.13,31.68,30.55,28.7,,
PLW,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,employment_agri_male,69.13,68.77,68.34,68.14,68.48,67.76,68.09,68.36,68.67,69.33,68.96,68.85,68.55,67.95,67.32,66.47,65.26,65.14,63.71,61.34,60.71,59.28,58.39,57.28,55.5,54.82,54.06,53.48,52.33,,
POL,employment_agri_male,24.93,24.52,24.07,23.4,22.69,21.9,21.1,20.37,19.63,18.91,19.0,20.15,19.22,18.45,17.97,16.41,15.21,14.09,13.38,13.35,13.44,13.27,12.85,12.49,12.49,11.55,11.31,10.59,10.01,,
PRK,employment_agri_male,42.4,43.0,43.49,43.95,44.39,44.89,45.59,45.83,45.4,45.3,44.92,44.76,44.32,44.03,43.47,43.41,43.29,42.95,42.85,42.74,42.68,42.44,42.11,41.79,41.64,41.17,41.31,41.39,40.82,,
PRT,employment_agri_male,10.61,10.43,10.48,10.8,10.58,11.19,11.74,12.64,11.46,11.34,11.93,11.56,12.1,11.78,11.17,11.38,11.39,10.9,11.24,11.46,11.49,12.57,12.42,10.86,9.56,8.93,8.5,8.07,7.28,,
PRY,employment_agri_male,43.54,43.39,43.1,42.79,42.28,42.11,41.65,41.58,41.51,41.67,41.91,41.94,38.26,38.19,38.11,35.96,32.38,29.79,32.55,30.2,29.33,28.76,27.45,25.87,23.44,25.54,23.54,23.73,22.62,,
PSE,employment_agri_male,11.9,11.6,11.41,10.98,10.9,11.03,10.53,10.04,9.58,10.26,9.62,12.4,12.45,12.4,11.42,12.62,11.07,10.17,10.06,9.83,9.3,8.91,8.45,8.11,7.75,7.06,6.54,6.23,5.93,,
QAT,employment_agri_male,5.23,5.14,5.07,4.92,4.77,4.61,4.39,3.91,3.48,3.09,2.74,2.94,3.13,3.28,3.38,3.47,2.72,1.79,1.77,1.65,1.54,1.53,1.58,1.5,1.42,1.41,1.44,1.4,1.35,,
ROU,employment_agri_male,26.37,28.84,32.17,34.77,35.29,34.24,37.29,38.68,40.86,42.79,41.77,35.7,36.08,32.21,31.66,29.92,28.31,27.33,27.78,29.95,27.78,28.68,28.38,27.6,25.58,23.47,23.16,22.38,21.42,,
RUS,employment_agri_male,17.69,18.73,19.08,19.8,19.61,19.26,16.06,15.57,17.5,17.1,14.61,13.64,13.34,12.83,12.31,12.07,11.0,10.39,10.23,9.85,9.61,9.17,8.51,8.22,8.22,8.32,7.66,7.67,7.57,,
RWA,employment_agri_male,83.91,83.67,83.58,83.71,83.67,83.52,83.34,83.32,83.23,82.98,82.61,81.91,81.02,79.84,78.47,76.97,75.36,73.64,72.13,70.42,68.68,66.78,62.5,57.92,56.63,55.83,55.09,53.93,53.01,,
SAU,employment_agri_male,8.79,8.57,8.35,8.14,7.94,7.75,7.55,7.33,7.12,6.71,6.83,5.26,5.07,4.89,4.72,4.55,4.88,4.93,4.62,4.75,4.88,4.98,5.08,6.0,6.97,5.76,4.09,2.83,2.72,,
SDN,employment_agri_male,49.24,48.98,48.83,48.67,48.39,48.04,47.65,47.42,47.21,46.78,46.32,45.79,45.16,44.72,44.03,43.15,42.09,41.22,40.97,40.79,39.44,38.23,37.49,36.84,35.92,35.02,34.19,33.84,33.62,,
SEN,employment_agri_male,49.37,49.34,49.29,49.24,49.07,48.95,48.73,48.33,47.83,47.49,46.86,46.21,45.44,44.51,43.74,43.01,42.15,41.53,40.97,40.26,39.51,38.77,38.1,37.2,36.43,35.72,35.01,34.35,33.7,,
SGP,employment_agri_male,0.38,0.46,0.36,0.4,0.32,0.25,0.24,0.24,0.23,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.12,0.11,0.09,0.09,0.08,0.05,,
SLB,employment_agri_male,49.36,48.93,48.92,48.1,47.81,47.48,47.9,47.28,47.39,49.22,48.63,50.81,51.15,50.38,48.3,47.06,46.38,44.61,45.26,44.65,42.49,41.55,40.8,40.26,39.51,38.97,38.32,37.51,36.93,,
SLE,employment_agri_male,67.55,67.87,67.73,67.67,67.84,67.65,67.78,67.56,67.6,67.2,67.65,66.56,66.06,65.83,65.95,65.99,65.68,65.41,65.18,64.45,63.76,62.2,60.53,59.45,60.35,59.44,58.93,58.26,57.52,,
SLV,employment_agri_male,40.24,39.7,40.17,39.7,38.66,38.06,37.93,37.21,33.88,33.94,33.84,31.65,28.53,30.07,30.72,29.06,28.26,28.73,32.7,31.96,32.43,32.58,30.84,29.69,28.46,29.45,29.17,26.3,25.63,,
SMR,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,employment_agri_male,81.05,81.2,81.17,81.47,81.47,81.41,81.57,81.6,81.6,81.59,81.56,81.48,81.38,81.28,81.16,81.07,80.98,80.86,80.72,80.56,80.41,80.32,80.19,80.03,79.82,79.64,79.54,79.36,79.19,,
SRB,employment_agri_male,28.9,29.62,30.49,30.36,29.36,28.96,28.34,27.75,28.66,27.74,26.95,25.26,24.4,24.0,23.32,21.46,21.74,24.36,24.51,23.35,22.58,22.46,22.39,21.4,21.76,20.52,19.02,17.72,17.47,,
SSD,employment_agri_male,54.6,54.27,53.92,53.7,53.43,53.2,52.89,52.82,52.83,52.64,52.36,52.03,51.61,51.4,51.03,50.52,49.92,49.53,49.82,49.59,49.29,49.21,47.88,47.75,48.79,49.32,49.3,48.63,48.24,,
STP,employment_agri_male,38.95,38.9,38.83,38.67,38.51,38.33,38.15,37.82,37.45,37.19,36.26,35.82,34.92,35.11,33.74,32.75,32.25,31.27,30.73,29.91,29.25,28.67,27.93,27.11,26.51,25.88,25.3,24.81,24.32,,
SUR,employment_agri_male,5.01,4.98,5.67,8.24,9.19,8.13,6.63,6.99,7.73,8.03,8.6,9.23,9.72,10.33,10.32,10.29,10.29,10.18,10.01,9.84,9.65,9.52,9.36,9.38,9.52,10.21,10.17,10.05,10.11,,
SVK,employment_agri_male,13.07,12.73,12.8,12.61,11.45,10.93,11.41,10.18,9.32,9.14,8.36,8.51,7.88,6.98,6.44,5.95,5.75,5.35,4.81,4.42,4.4,4.49,4.64,4.95,4.67,4.09,3.82,3.2,3.98,,
SVN,employment_agri_male,11.29,11.21,11.13,11.96,10.22,10.75,11.82,11.86,10.75,9.53,10.15,9.65,8.54,9.81,9.13,9.89,9.62,8.76,9.23,9.07,9.16,8.85,8.76,9.63,7.05,5.76,6.2,5.93,4.97,,
SWE,employment_agri_male,5.51,5.45,5.41,5.27,5.12,4.67,4.69,4.45,4.36,4.27,3.94,3.7,3.89,3.8,3.47,3.34,3.43,3.25,3.27,3.12,2.97,3.03,2.99,2.94,2.97,2.69,2.58,2.55,2.59,,
SWZ,employment_agri_male,23.81,23.67,23.52,23.38,23.13,22.9,22.67,22.45,22.16,21.9,21.59,21.06,20.54,20.01,19.39,18.78,18.27,17.95,17.59,17.14,16.76,16.24,15.81,15.51,15.17,14.89,14.58,14.26,13.96,,
SYC,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,employment_agri_male,21.88,23.48,25.17,22.85,20.35,21.48,22.62,23.33,23.34,26.65,25.66,23.96,22.47,21.58,20.43,19.3,18.09,16.76,15.62,14.39,13.36,13.52,13.67,13.44,12.9,12.36,11.83,11.24,10.68,,
TCD,employment_agri_male,80.95,80.78,81.12,80.95,80.91,80.97,80.86,80.68,80.74,80.89,80.51,80.17,79.83,78.93,78.3,78.26,78.02,77.89,77.87,77.63,77.15,76.82,76.86,76.53,76.43,76.83,76.93,76.69,76.46,,
TGO,employment_agri_male,49.11,49.24,49.87,49.06,48.82,48.58,48.05,47.81,47.76,47.53,47.42,47.18,46.48,46.49,47.13,46.77,46.7,46.66,46.03,45.33,44.49,43.85,43.07,42.42,41.51,40.43,39.14,38.6,37.92,,
THA,employment_agri_male,59.95,59.95,56.18,55.16,50.78,48.78,49.38,52.26,49.83,49.84,48.02,45.75,43.56,41.13,40.32,41.54,41.21,41.59,41.06,40.1,42.57,43.67,43.85,35.35,34.35,33.47,33.94,34.61,34.07,,
TJK,employment_agri_male,40.74,42.23,43.59,45.22,46.89,48.43,48.98,49.33,49.32,48.85,47.84,46.63,45.32,43.76,43.85,44.17,44.3,44.22,44.09,43.42,42.52,41.67,40.65,39.75,38.82,37.91,37.04,36.32,35.35,,
TKM,employment_agri_male,38.1,37.51,38.27,40.12,39.01,38.75,39.78,40.21,39.78,39.13,39.44,39.01,38.36,37.79,36.76,35.86,35.33,33.01,32.23,31.46,29.91,28.82,27.78,26.67,25.91,24.95,24.05,23.12,22.1,,
TLS,employment_agri_male,58.32,57.77,57.17,56.48,55.79,55.01,55.1,57.01,59.72,56.39,53.48,55.21,55.68,56.83,55.45,57.06,55.97,54.23,52.27,50.76,49.24,48.28,46.1,44.93,42.34,39.86,41.51,40.98,39.37,,
TON,employment_agri_male,54.8,55.89,56.63,54.56,53.53,53.56,53.48,53.02,52.52,50.84,49.25,48.5,48.37,48.26,46.26,44.68,44.66,42.31,40.74,39.43,38.19,37.16,37.49,37.02,35.86,33.9,32.6,31.44,30.67,,
TTO,employment_agri_male,14.55,14.92,14.64,16.01,13.95,12.7,12.89,11.03,11.35,9.86,10.76,9.95,8.44,6.41,6.2,6.13,5.19,5.24,5.24,5.06,4.96,5.44,5.17,5.33,4.89,4.47,4.44,4.38,4.28,,
TUN,employment_agri_male,21.54,21.35,21.28,21.18,21.09,20.83,20.57,20.29,19.92,19.55,19.17,19.01,18.59,18.03,17.77,18.7,18.12,17.81,18.11,17.23,16.8,17.57,16.54,16.33,16.43,16.05,16.36,15.8,15.32,,
TUR,employment_agri_male,20.98,21.02,21.83,21.1,20.83,20.56,20.25,20.28,19.67,19.64,19.32,19.0,18.69,18.58,17.99,17.14,16.65,16.84,17.14,17.39,17.84,17.72,17.36,15.99,15.67,15.37,15.3,14.86,14.85,,
TUV,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,employment_agri_male,81.83,81.84,81.83,81.82,81.78,81.67,81.51,81.2,80.8,80.35,79.71,77.78,75.72,73.49,70.97,68.35,67.82,67.56,67.32,66.92,66.42,66.25,65.86,65.45,65.17,64.79,64.45,64.03,63.61,,
UGA,employment_agri_male,66.18,66.15,65.78,65.66,65.15,64.65,64.39,64.09,63.64,63.41,63.02,62.43,62.23,62.15,62.23,61.89,61.65,61.58,61.84,61.61,61.55,61.44,66.98,67.63,67.49,67.69,68.2,67.9,67.66,,
UKR,employment_agri_male,24.22,24.67,25.18,25.87,26.42,26.99,27.05,27.31,27.52,26.93,26.25,25.72,24.84,23.98,23.48,22.68,21.98,21.55,21.85,21.0,20.93,20.59,20.71,16.46,17.21,17.85,17.6,16.61,15.99,,
URY,employment_agri_male,15.4,15.49,15.49,15.54,15.64,15.66,15.66,15.64,15.54,15.53,15.46,15.43,15.42,15.27,15.11,14.89,15.05,15.02,15.58,16.52,13.69,12.21,13.16,13.04,12.31,11.68,12.68,12.08,12.08,,
USA,employment_agri_male,2.64,2.62,2.59,2.56,2.52,2.48,2.43,2.38,2.33,2.27,2.11,2.13,2.09,2.05,1.96,1.94,1.83,1.9,1.94,2.02,2.03,1.91,1.87,1.9,2.02,1.99,2.01,1.89,1.87,,
UZB,employment_agri_male,40.34,40.42,40.92,41.78,41.89,42.19,42.19,41.57,40.66,40.07,39.28,38.46,37.54,36.31,35.06,33.75,32.22,30.74,29.38,28.21,28.43,27.99,28.43,28.71,28.7,28.55,28.04,27.86,27.04,,
VCT,employment_agri_male,30.62,29.5,28.45,27.56,26.52,25.68,24.64,23.66,22.82,22.05,21.18,20.56,19.93,19.41,18.99,18.35,17.88,17.47,17.21,17.04,16.69,16.35,16.0,15.73,15.39,15.11,14.81,14.51,14.23,,
VEN,employment_agri_male,18.67,17.54,16.86,20.5,20.07,20.15,16.15,14.98,15.09,15.96,14.43,14.64,15.59,15.45,15.35,14.16,13.32,12.84,12.77,12.64,12.22,11.74,11.42,11.28,11.33,11.42,11.51,11.66,12.27,,
VNM,employment_agri_male,70.89,69.73,68.58,67.53,66.54,65.72,64.58,63.98,64.56,64.29,63.09,61.03,57.79,55.96,52.86,49.7,47.25,46.45,45.27,46.44,45.89,45.39,44.99,44.68,42.71,40.38,38.95,37.6,36.23,,
VUT,employment_agri_male,66.22,66.29,66.71,66.33,66.72,66.77,66.47,65.97,66.1,65.52,66.19,67.12,66.53,66.42,65.86,65.04,64.61,63.19,59.21,62.02,62.67,62.82,61.98,61.56,59.82,58.92,58.15,57.43,56.78,,
WSM,employment_agri_male,59.23,59.07,58.7,59.37,58.1,57.34,57.53,56.37,55.55,54.45,52.68,52.74,52.2,52.28,51.85,51.41,49.68,49.09,49.6,48.05,47.09,47.19,47.16,46.04,44.99,44.24,43.85,43.12,42.26,,
YEM,employment_agri_male,47.1,46.75,46.77,46.54,44.2,41.88,39.56,37.25,35.26,34.0,32.82,31.54,30.16,28.68,27.88,27.18,26.42,25.5,24.52,23.54,25.05,25.83,26.5,27.56,28.08,28.04,27.78,27.22,26.51,,
ZAF,employment_agri_male,12.43,12.41,12.34,12.24,12.08,11.91,11.71,11.53,11.28,10.92,10.37,9.79,9.22,8.64,8.06,7.53,7.05,6.63,6.12,5.64,5.45,5.76,6.13,5.76,6.66,6.86,6.46,6.17,6.46,,
ZMB,employment_agri_male,63.07,63.13,62.85,63.38,63.37,63.1,62.97,63.26,63.77,64.26,64.63,65.02,65.19,65.33,65.63,65.17,64.67,64.17,60.78,57.04,53.49,49.53,48.24,47.32,46.63,46.02,45.59,45.21,45.06,,
ZWE,employment_agri_male,51.8,51.71,51.82,51.58,51.32,51.19,51.05,50.93,51.32,52.11,53.05,54.28,55.29,55.57,56.71,57.54,59.29,60.16,59.72,59.35,59.96,60.49,61.74,62.76,62.72,62.72,62.6,62.4,62.81,,
AFG,employment_agri_total,63.43,63.65,64.41,64.44,64.3,64.68,64.98,65.2,65.46,65.84,66.29,64.42,63.7,63.27,62.15,61.28,60.14,59.29,56.89,54.58,53.56,51.4,49.82,48.41,47.07,45.81,43.99,43.13,42.5,,
AGO,employment_agri_total,39.83,39.9,40.21,40.09,39.56,38.98,38.54,38.16,37.86,37.5,37.22,36.56,36.45,36.17,38.11,40.21,42.21,44.37,46.51,48.88,51.22,51.23,51.18,51.14,51.16,51.15,50.99,50.91,50.73,,
ALB,employment_agri_total,57.91,58.11,57.62,57.08,56.36,55.94,56.06,55.25,54.03,52.82,51.31,50.16,49.27,48.34,47.38,46.3,45.55,44.66,44.05,42.08,45.39,46.0,44.2,42.26,41.28,40.04,38.08,37.29,36.42,,
AND,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,employment_agri_total,8.46,8.37,8.24,8.13,8.0,7.99,7.96,7.92,7.92,7.9,7.25,6.67,6.11,5.63,5.19,4.78,4.39,4.04,3.68,3.38,3.08,2.79,2.51,2.25,2.01,1.81,1.62,1.46,1.39,,
ARG,employment_agri_total,0.34,0.4,0.45,0.45,0.62,0.76,0.8,0.76,0.74,0.67,0.83,0.98,1.4,1.5,1.28,1.05,1.12,1.2,1.23,1.27,0.64,0.62,0.62,0.55,0.26,0.13,0.06,0.1,0.06,,
ARM,employment_agri_total,43.78,44.36,44.64,44.69,44.53,44.33,44.13,43.76,43.37,42.91,42.15,41.26,40.22,39.41,38.52,37.46,36.53,37.8,39.45,38.6,38.93,37.25,36.28,34.83,35.33,33.6,31.34,25.78,24.05,,
ATG,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,employment_agri_total,5.36,5.05,5.12,4.9,4.78,4.84,4.91,4.85,4.93,4.86,4.75,4.38,3.91,3.74,3.58,3.41,3.32,3.31,3.23,3.23,2.82,2.8,2.62,2.8,2.64,2.62,2.6,2.62,2.56,,
AUT,employment_agri_total,7.78,7.62,7.41,7.2,7.34,7.43,6.89,6.49,6.23,6.05,5.81,5.76,5.5,4.9,5.27,5.24,5.53,5.25,5.32,5.21,4.94,4.68,4.58,4.84,4.53,4.35,3.93,3.69,3.66,,
AZE,employment_agri_total,40.87,41.41,41.32,42.2,43.31,43.35,42.92,42.3,42.31,41.01,39.95,40.19,39.89,39.54,39.32,39.55,38.55,39.59,38.12,38.23,37.88,37.65,37.1,36.75,36.36,36.34,36.35,36.26,36.0,,
BDI,employment_agri_total,92.13,92.13,92.19,92.22,92.3,92.37,92.35,92.21,91.99,91.76,91.48,91.17,90.93,90.62,90.3,89.92,89.53,89.11,88.68,88.22,87.75,87.24,86.71,86.19,86.29,86.28,86.31,86.25,86.21,,
BEL,employment_agri_total,3.0,2.9,2.63,2.89,2.68,2.75,2.66,2.24,2.39,1.91,1.38,1.79,1.72,2.22,2.04,1.95,1.86,1.55,1.49,1.35,1.3,1.17,1.36,1.22,1.18,1.25,1.16,0.99,0.92,,
BEN,employment_agri_total,50.9,50.8,50.64,50.26,50.06,49.83,49.51,49.25,48.85,48.39,47.91,47.46,47.07,46.65,46.32,45.88,45.34,44.85,44.45,44.07,43.61,43.03,42.27,41.56,41.08,40.59,39.87,39.08,38.27,,
BFA,employment_agri_total,89.78,89.64,89.42,89.14,88.07,86.77,85.4,83.86,82.14,80.43,78.35,76.11,73.46,70.72,67.52,64.09,60.53,56.66,52.7,48.22,43.72,39.2,34.73,30.38,29.75,28.93,28.02,27.08,26.21,,
BGD,employment_agri_total,69.51,68.9,68.12,67.22,66.03,64.63,64.86,64.93,64.94,64.81,62.39,59.9,57.19,54.3,51.17,48.08,47.85,47.67,47.53,47.31,46.55,45.76,45.01,44.27,43.46,42.66,40.6,39.39,38.3,,
BGR,employment_agri_total,19.54,19.0,18.32,17.49,16.62,15.6,15.56,14.32,13.88,13.2,9.69,10.71,11.14,10.75,8.94,8.11,7.54,7.47,7.09,6.82,6.78,6.44,6.66,7.01,6.86,6.75,7.01,6.58,6.62,,
BHR,employment_agri_total,2.43,2.34,2.24,2.14,2.05,1.97,1.88,1.8,1.72,1.65,1.57,1.52,1.47,1.41,1.35,1.29,1.24,1.18,1.14,1.08,1.09,1.09,1.09,1.08,1.08,1.04,1.01,0.97,0.94,,
BHS,employment_agri_total,5.25,5.25,5.46,5.43,4.34,5.0,3.84,3.53,4.03,4.11,4.2,3.71,3.0,4.43,3.49,2.5,2.31,2.93,2.88,2.71,2.65,2.62,2.57,2.49,2.44,2.38,2.33,2.26,2.2,,
BIH,employment_agri_total,35.34,35.26,34.86,33.78,32.37,30.27,28.71,27.31,26.19,25.23,24.44,23.45,22.7,22.1,21.31,20.55,19.82,20.58,21.23,19.7,19.61,20.56,18.86,17.08,17.52,17.96,16.82,15.73,17.96,,
BLR,employment_agri_total,15.1,15.43,15.52,15.68,15.89,15.88,15.69,15.51,15.38,15.12,14.72,14.41,13.97,13.5,12.99,12.54,12.07,11.63,11.35,10.89,10.59,10.31,10.14,9.89,9.7,9.73,10.7,11.31,11.06,,
BLZ,employment_agri_total,24.31,24.17,23.94,23.11,27.15,28.68,29.91,25.02,27.47,26.01,24.67,23.34,22.0,20.78,19.56,19.42,19.31,19.13,19.04,18.91,18.79,18.62,18.46,18.25,18.08,18.56,17.42,17.01,16.8,,
BOL,employment_agri_total,42.46,42.34,42.15,41.91,41.58,41.29,41.23,40.69,39.95,38.94,44.2,42.39,35.09,35.09,38.61,39.5,36.1,31.2,30.09,30.0,29.79,27.79,29.23,30.85,27.85,29.68,30.49,31.06,30.54,,
BRA,employment_agri_total,19.64,19.75,19.31,18.69,18.14,17.1,16.85,16.2,16.69,16.49,16.42,16.53,16.68,17.14,16.62,15.62,14.68,13.85,13.43,12.66,11.99,11.47,11.17,10.34,10.2,10.14,9.46,9.26,9.08,,
BRB,employment_agri_total,5.52,6.24,5.56,5.31,4.64,5.27,4.83,4.44,4.31,4.23,4.2,4.04,4.56,3.41,3.52,3.61,3.01,2.78,2.94,2.84,3.27,2.78,2.71,2.72,2.89,2.86,2.76,2.7,2.65,,
BRN,employment_agri_total,2.03,1.9,1.78,1.68,1.56,1.48,1.41,1.32,1.27,1.21,1.13,1.07,1.02,0.97,0.92,0.87,0.81,0.78,0.73,0.69,0.65,0.62,0.58,0.55,0.74,1.01,1.36,1.06,1.95,,
BTN,employment_agri_total,69.85,69.64,69.45,69.2,68.93,68.53,68.22,67.92,67.46,66.78,66.06,65.3,64.68,64.01,63.32,62.8,62.23,61.73,60.78,59.6,60.15,58.35,56.34,56.65,58.0,57.22,56.52,56.12,55.78,,
BWA,employment_agri_total,15.9,15.7,15.66,15.6,15.26,15.07,17.76,20.73,20.32,19.96,20.49,20.82,21.22,21.96,22.66,23.22,23.77,24.39,25.09,24.59,24.06,23.57,22.86,22.29,21.9,21.36,20.88,20.37,19.9,,
CAF,employment_agri_total,75.67,75.82,75.86,75.82,75.68,75.85,75.75,75.59,75.45,75.51,75.26,75.02,75.17,74.8,74.62,74.22,73.83,73.51,72.93,72.51,72.08,71.57,72.53,72.3,71.83,71.3,70.78,70.3,69.85,,
CAN,employment_agri_total,3.49,3.45,3.48,3.35,3.15,3.11,3.01,2.99,2.81,2.52,2.16,2.12,2.11,2.02,2.12,2.11,2.0,1.94,1.95,1.81,1.79,1.75,1.78,1.71,1.64,1.58,1.52,1.49,1.51,,
CHE,employment_agri_total,4.3,4.2,4.51,4.41,4.45,4.39,4.6,4.61,4.78,4.85,4.35,4.29,4.24,3.89,3.9,3.81,4.0,3.59,3.25,3.47,3.51,3.53,3.53,3.58,3.44,3.36,3.11,3.03,2.59,,
CHL,employment_agri_total,19.09,18.02,16.55,16.22,15.71,15.41,14.42,14.44,14.43,14.44,13.6,13.5,13.6,13.36,13.16,12.85,12.31,11.72,11.18,10.61,10.26,9.98,9.48,9.4,9.38,9.48,9.25,9.22,8.98,,
CHN,employment_agri_total,59.7,58.5,56.4,54.3,52.2,50.5,49.9,49.8,50.1,50.01,50.01,50.01,49.1,46.9,44.8,42.6,40.8,39.6,38.1,36.7,34.8,33.6,31.4,29.5,28.59,27.7,26.98,26.07,25.33,,
CIV,employment_agri_total,52.76,52.74,52.72,52.67,52.4,52.05,51.75,51.45,51.22,51.14,51.01,50.87,50.69,50.3,49.9,49.51,49.04,48.54,47.93,47.45,47.33,46.22,45.17,44.33,43.5,42.75,41.89,41.01,40.15,,
CMR,employment_agri_total,68.03,68.12,68.31,68.23,68.11,67.92,67.64,67.3,66.91,66.47,65.89,65.0,64.04,62.94,62.03,60.98,59.83,58.25,56.66,55.0,53.24,51.4,49.48,47.61,46.58,45.71,44.91,44.17,43.49,,
COD,employment_agri_total,71.82,72.08,72.39,72.59,72.61,72.64,72.89,72.94,73.14,73.46,73.42,73.17,72.81,72.32,71.87,71.45,70.92,70.44,70.09,69.54,68.96,68.34,67.61,66.81,66.15,65.8,65.38,64.81,64.3,,
COG,employment_agri_total,43.25,43.2,43.2,43.33,43.17,43.0,42.99,42.7,42.75,42.29,41.83,41.31,41.01,40.61,39.97,39.39,39.25,38.71,37.95,37.24,36.71,36.17,35.62,34.88,34.35,34.22,34.07,33.74,33.53,,
COL,employment_agri_total,23.75,23.59,23.37,23.09,22.84,22.62,22.3,22.18,22.35,22.43,22.2,21.93,21.55,21.03,20.66,20.01,19.37,19.03,18.62,18.38,17.81,17.41,16.6,16.23,16.01,16.01,16.53,16.71,15.77,,
COM,employment_agri_total,59.32,59.17,59.12,59.25,59.14,59.14,58.94,58.79,58.56,57.87,57.42,56.9,56.36,55.72,54.12,52.49,50.87,49.1,47.32,45.48,43.61,41.77,39.85,38.01,37.27,36.49,35.7,34.99,34.38,,
CPV,employment_agri_total,30.02,29.6,29.2,28.55,27.88,27.2,26.46,25.59,24.7,23.65,23.02,22.23,21.53,20.59,19.81,19.0,18.05,17.36,16.99,16.54,16.03,15.64,15.27,14.91,14.54,14.06,13.61,11.84,10.6,,
CRI,employment_agri_total,17.9,17.75,17.65,17.33,17.58,17.5,17.14,16.96,16.51,16.25,15.65,15.91,15.21,14.88,15.25,14.04,13.27,12.39,11.84,11.37,10.91,10.28,9.9,11.16,12.31,12.21,12.58,12.4,11.97,,
CUB,employment_agri_total,24.91,25.3,25.89,25.46,25.1,25.1,25.1,26.19,27.12,27.12,25.9,24.69,23.52,22.31,21.08,19.86,18.74,18.57,18.72,18.6,19.69,19.26,18.61,18.9,18.65,18.32,17.99,17.69,17.4,,
CYP,employment_agri_total,12.63,12.16,11.87,11.1,10.82,9.55,8.34,7.24,6.25,5.41,4.84,5.25,5.19,5.1,4.74,4.26,4.39,4.23,3.93,3.8,3.83,2.91,3.11,4.43,4.0,3.64,2.53,2.17,2.41,,
CZE,employment_agri_total,8.18,8.08,7.8,6.95,6.64,6.22,5.79,5.55,5.31,5.22,4.87,4.9,4.51,4.45,3.98,3.76,3.58,3.17,3.12,3.1,2.99,3.05,3.03,2.75,2.93,2.9,2.8,2.8,2.66,,
DEU,employment_agri_total,3.48,3.4,3.35,3.26,3.17,2.94,2.94,2.78,2.87,2.64,2.62,2.49,2.43,2.36,2.37,2.27,2.26,1.79,1.68,1.65,1.65,1.56,1.45,1.43,1.39,1.31,1.28,1.25,1.21,,
DJI,employment_agri_total,41.16,41.06,41.1,40.98,40.94,40.95,40.87,40.73,40.39,40.08,39.6,38.97,38.31,37.65,36.94,36.1,35.23,34.3,33.64,32.82,31.83,30.99,30.15,29.19,28.21,27.29,26.45,25.47,24.55,,
DMA,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,employment_agri_total,5.46,5.27,5.14,5.05,4.39,3.88,3.74,3.71,3.32,3.67,3.55,3.21,3.3,3.27,3.18,3.09,2.96,2.71,2.76,2.54,2.4,2.64,2.59,2.48,2.49,2.33,2.11,2.19,2.22,,
DOM,employment_agri_total,21.75,21.46,21.2,20.76,20.35,19.9,20.02,17.09,17.54,15.6,14.39,15.22,14.27,14.24,13.68,13.69,12.85,12.68,13.13,12.42,12.04,11.36,11.08,11.26,9.72,8.93,9.58,9.33,8.78,,
